T_exp,P,AM,S,R,EA,T_atm
48.0,12500000000.0,63.08445,1.32683175647976,1.46747126436782,115.9,22
23.0,3000000000.0,71.4178675,1.16709376132578,1.3137662337662301,72.175,25
2.1,2000000000.0,116.727833333333,0.531746807383173,1.63448275862069,50.5566666666667,3
2.2,1630000000.0,116.727833333333,0.531746807383173,1.63448275862069,50.5566666666667,3
200.0,160000000000.0,11.41085,0.178645063483647,0.6796,91.8,6
27.0,1480000000.0,67.4025,0.678373316815239,1.295,106.85,40
250.0,150000000000.0,13.516925,0.888586961581519,1.0634000000000001,61.55,29
200.0,150000000000.0,13.516925,0.888586961581519,1.0634000000000001,61.55,29
270.0,200000000000.0,13.516925,0.888586961581519,1.0634000000000001,61.55,29
2.2,1630000000.0,91.48215,1.12704043108262,1.4653631578947401,76.8425,9
203.0,200000000000.0,11.41085,0.178645063483647,0.6796,91.8,6
203.0,200000000000.0,11.41085,0.178645063483647,0.6796,91.8,6
12.0,1500000000.0,82.02365,1.13039580006205,1.4596250000000002,38.0175,19
25.0,3000000000.0,67.4025,0.678373316815239,1.295,106.85,40
21.0,3500000000.0,66.9491133333333,0.535670218184869,0.78,98.9666666666667,120
11.0,1000000000.0,66.12366625,1.16171755757538,1.3508000000000002,40.025,4
11.0,1000000000.0,66.12366625,1.16171755757538,1.3508000000000002,40.025,4
11.0,1180000000.0,67.4025,0.678373316815239,1.295,106.85,40
21.0,3000000000.0,66.12366625,1.16171755757538,1.3508000000000002,40.025,4
25.0,3000000000.0,67.4025,0.678373316815239,1.295,106.85,40
1.0,7000000000.0,42.9621373333333,1.06788075506815,1.391,57.3,4
8.5,8900000000.0,67.4025,0.678373316815239,1.295,106.85,40
0.6,1220000000.0,127.787666666667,0.747318637197457,1.4209677419354798,154.7,2
5.0,3200000000.0,40.078,0.0,1.94,3.87,29
5.0,3000000000.0,40.078,0.0,1.94,3.87,29
2.1,1600000000.0,116.727833333333,0.531746807383173,1.63448275862069,50.5566666666667,3
8.0,8900000000.0,67.4025,0.678373316815239,1.295,106.85,40
203.0,155000000000.0,32.065,0.0,0.87,201.5,14
1.5,1080000000.0,88.56496,1.34464429173821,1.1562000000000001,88.57,89
2.0,1000000000.0,67.4025,0.678373316815239,1.295,106.85,40
2.5,78500000000.0,64.6575028666667,0.597836518646755,1.43655,76.2,2
2.5,78500000000.0,64.6575028666667,0.597836518646755,1.43655,76.2,2
2.1,75700000000.0,79.5407733333333,1.08120825282092,1.03642857142857,36.2666666666667,1
3.8,5700000000.0,143.6385,0.043547066565512,1.8786500000000002,59.4,1
5.5,8000000000.0,88.89,1.01576336892115,1.526,60.7433333333333,1
10.1,93000000000.0,32.065,0.0,0.87,201.5,14
17.0,160000000000.0,32.065,0.0,0.87,201.5,14
8.9,4000000000.0,121.57925,0.63005346727554,1.7420192307692302,102.3,1
30.5,5500000000.0,89.3898333333333,0.7825737183219,1.55666666666667,98.9,3
50.0,10000000000.0,50.6546,1.16531172412241,1.15090909090909,154.8575,70
9.7,46600000000.0,88.89,1.01576336892115,1.526,60.7433333333333,1
2.1,1600000000.0,121.095166666667,0.631673564002468,1.6540000000000001,131.133333333333,0
11.0,14400000000.0,56.6216333333333,0.980199720578692,1.566,48.8666666666667,3
31.0,3000000000.0,51.2648333333333,0.4801912640069,1.64615384615385,47.7566666666667,4
4.0,12400000000.0,135.373,0.144863926071963,1.531,78.25,6
2.0,800000000.0,63.45885,0.676743180461227,1.4000000000000001,72.65,1
43.0,4000000000.0,71.477956,0.481215719495088,1.8333333333333302,37.05,10
37.0,9000000000.0,76.6075428571429,1.67396249572312,1.08269230769231,68.5428571428571,54
27.0,3000000000.0,72.77084232,1.16240214683041,1.5356,41.6125,34
27.0,3000000000.0,65.3515416666667,1.59761523514714,1.08052857142857,62.8833333333333,50
8.0,1500000000.0,12.0107,0.0,0.67,155.4,5
80.0,100000000000.0,11.41085,0.178645063483647,0.6796,91.8,6
2.1,1600000000.0,116.727833333333,0.531746807383173,1.63448275862069,50.5566666666667,3
10.7,7000000000.0,85.856759,1.40444676656526,1.5272800000000002,43.986,16
3.0,2000000000.0,90.6108333333333,0.958026738761085,1.68,68.5833333333333,0
14.0,2530000000.0,79.6459,0.72905136978295,1.0030337078651699,90.8333333333333,0
14.0,16000000000.0,32.065,0.0,0.87,201.5,14
0.0,12000000000.0,99.43275,0.579372676932627,1.7775999999999998,92.3,0
0.23,2430000000.0,121.095166666667,0.631673564002468,1.6540000000000001,131.133333333333,0
0.095,2650000000.0,121.095166666667,0.631673564002468,1.6540000000000001,131.133333333333,0
0.23,2430000000.0,121.095166666667,0.631673564002468,1.6540000000000001,131.133333333333,0
0.2,2500000000.0,121.095166666667,0.631673564002468,1.6540000000000001,131.133333333333,0
9.5,50000000000.0,53.45654,0.372795433013253,1.29575129533679,48.05,13
2.63,12800000000.0,80.9397833333333,1.53051238914762,1.04777777777778,50.6533333333333,98
3.0,4000000000.0,125.335933333333,0.657836312781674,1.57666666666667,62.4333333333333,4
2.0,8500000000.0,97.434854,1.24768649698123,1.1244,105.76,1
2.1,1700000000.0,116.727833333333,0.531746807383173,1.63448275862069,50.5566666666667,3
13.5,1300000000.0,79.6459,0.72905136978295,1.0030337078651699,90.8333333333333,0
13.5,2000000000.0,79.6459,0.72905136978295,1.0030337078651699,90.8333333333333,0
0.5,13500000000.0,130.97,0.664013995275409,1.44,91.45,2
11.5,7000000000.0,15.9994,0.0,0.48,142.5,0
48.7,10500000000.0,62.95894,0.981830688021931,1.2928125,149.54,22
38.0,6000000000.0,67.4025,0.678373316815239,1.295,106.85,40
13.0,100000000000.0,56.8300275333333,1.26171654161925,1.3005000000000002,115.45,34
2.1,1600000000.0,116.727833333333,0.531746807383173,1.63448275862069,50.5566666666667,3
37.0,8900000000.0,67.4025,0.678373316815239,1.295,106.85,40
2.0,1600000000.0,121.095166666667,0.631673564002468,1.6540000000000001,131.133333333333,0
190.0,150000000000.0,11.41085,0.178645063483647,0.6796,91.8,6
80.0,160000000000.0,11.41085,0.178645063483647,0.6796,91.8,6
80.0,100000000000.0,11.41085,0.178645063483647,0.6796,91.8,6
10.0,2500000000.0,132.064166666667,1.01691900592709,1.761,122.166666666667,0
3.0,15000000000.0,55.845,0.0,1.56,17.2,2
0.7,1750000000.0,135.373,0.144863926071963,1.531,78.25,6
250.0,200000000000.0,13.516925,0.888586961581519,1.0634000000000001,61.55,29
8.8,800000000.0,60.430908,1.09985695747801,1.2425,70.425,5
2.1,1600000000.0,110.368358333333,0.628949755527614,1.845,46.7666666666667,1
34.0,7000000000.0,67.4025,0.678373316815239,1.295,106.85,40
13.5,1480000000.0,67.4025,0.678373316815239,1.295,106.85,40
150.0,150000000000.0,11.41085,0.178645063483647,0.6796,91.8,6
32.0,150000000000.0,76.3195,0.903666943856533,1.6513333333333302,90.15,1
215.0,150000000000.0,13.516925,0.888586961581519,1.0634000000000001,61.55,29
215.0,150000000000.0,13.516925,0.888586961581519,1.0634000000000001,61.55,29
52.0,150000000000.0,61.611355,1.01503532321942,1.2750000000000001,87.15,8
27.0,3000000000.0,89.3898333333333,0.7825737183219,1.55666666666667,98.9,3
13.0,500000000.0,56.9482,0.98360648414063,1.4680000000000002,33.5233333333333,11
29.0,3500000000.0,72.77084232,1.16240214683041,1.5356,41.6125,34
45.0,1780000000.0,67.4025,0.678373316815239,1.295,106.85,40
21.0,12000000000.0,71.4178675,1.16709376132578,1.3137662337662301,72.175,25
10.0,1000000000.0,74.5555672,1.46372489833196,1.3275000000000001,105.941666666667,50
1.5,94000000000.0,36.279091,0.690787615885518,1.1562999999999999,60.7,1
203.0,155000000000.0,11.41085,0.178645063483647,0.6796,91.8,6
1.1,580000000.0,63.45885,0.676743180461227,1.4000000000000001,72.65,1
17.0,5000000000.0,59.9346530333333,1.20744298277819,1.2808625,103.283333333333,9
11.7,2000000000.0,50.4954666666667,1.05428412954791,1.078,52.71,0
40.0,1200000000.0,16.9690666666667,0.62338452366947,0.9878,106.233333333333,1
260.0,200000000000.0,13.516925,0.888586961581519,1.0634000000000001,61.55,29
37.0,6000000000.0,67.4025,0.678373316815239,1.295,106.85,40
14.0,11000000000.0,57.4581,0.334896034321695,1.2,133.3,1
1.5,30000000000.0,132.9054519,0.0,2.98,47.0,1
0.05,21000000000.0,85.5216666666667,1.02582475812758,1.33479166666667,106.133333333333,8
4.5,11000000000.0,136.08594,0.417759810290915,2.0153,37.55,7
27.0,1500000000.0,67.4025,0.678373316815239,1.295,106.85,40
34.0,3500000000.0,72.77084232,1.16240214683041,1.5356,41.6125,34
34.0,14000000000.0,72.77084232,1.16240214683041,1.5356,41.6125,34
5.8,1000000000.0,60.430908,1.09985695747801,1.2425,70.425,5
29.0,2000000000.0,89.3898333333333,0.7825737183219,1.55666666666667,98.9,3
27.0,2500000000.0,72.77084232,1.16240214683041,1.5356,41.6125,34
31.1,820000000.0,80.70215,1.12647633566883,1.458875,38.0175,12
37.0,9000000000.0,67.4025,0.678373316815239,1.295,106.85,40
2.0,1600000000.0,116.727833333333,0.531746807383173,1.63448275862069,50.5566666666667,3
2.0,1600000000.0,116.727833333333,0.531746807383173,1.63448275862069,50.5566666666667,3
2.63,12800000000.0,80.9397833333333,1.53051238914762,1.04777777777778,50.6533333333333,98
1.0,1000000000.0,127.787666666667,0.747318637197457,1.4209677419354798,154.7,2
29.0,2800000000.0,89.3898333333333,0.7825737183219,1.55666666666667,98.9,3
45.0,5471550.0,50.61935,0.643753990450334,1.24510204081633,79.5333333333333,11
190.0,190000000000.0,11.41085,0.178645063483647,0.6796,91.8,6
190.0,180000000000.0,11.41085,0.178645063483647,0.6796,91.8,6
17.0,113000000000.0,11.41085,0.178645063483647,0.6796,91.8,6
0.95,1300000000.0,127.787666666667,0.747318637197457,1.4209677419354798,154.7,2
37.0,7000000000.0,67.4025,0.678373316815239,1.295,106.85,40
39.0,7600000000.0,17.822681856,0.590354212661459,0.761632775119617,68.48,12
27.0,1480000000.0,67.4025,0.678373316815239,1.295,106.85,40
37.0,7000000000.0,67.4025,0.678373316815239,1.295,106.85,40
10.0,1000000000.0,85.856759,1.40444676656526,1.5272800000000002,43.986,16
2.1,1700000000.0,116.727833333333,0.531746807383173,1.63448275862069,50.5566666666667,3
154.0,172000000000.0,32.065,0.0,0.87,201.5,14
200.0,200000000000.0,11.41085,0.178645063483647,0.6796,91.8,6
20.0,12000000000.0,71.4178675,1.16709376132578,1.3137662337662301,72.175,25
34.0,1000000000.0,89.3898333333333,0.7825737183219,1.55666666666667,98.9,3
6.7,115000000000.0,28.0855,0.0,1.11,135.1,7
14.0,30000000000.0,6.941,0.0,1.67,61.1,0
2.1,1600000000.0,116.727833333333,0.531746807383173,1.63448275862069,50.5566666666667,3
2.1,1600000000.0,116.727833333333,0.531746807383173,1.63448275862069,50.5566666666667,3
15.1,8000000000.0,15.9994,0.0,0.48,142.5,0
37.0,7000000000.0,67.4025,0.678373316815239,1.295,106.85,40
3.4,52500000000.0,93.7797933333333,0.712790034586914,1.832875,75.6,16
1.0,7800000000.0,42.9621373333333,1.06788075506815,1.391,57.3,4
29.5,2000000000.0,94.2181122,1.26181359748313,1.1914,144.533333333333,5
36.0,38000000000.0,67.4025,0.678373316815239,1.295,106.85,40
6.7,3600000000.0,40.078,0.0,1.94,3.87,29
14.0,1480000000.0,67.4025,0.678373316815239,1.295,106.85,40
10.5,1700000000.0,10.811,0.0,0.87,28.2,6
20.0,2500000000.0,89.3898333333333,0.7825737183219,1.55666666666667,98.9,3
10.0,8000000000.0,72.77084232,1.16240214683041,1.5356,41.6125,34
203.0,150000000000.0,11.41085,0.178645063483647,0.6796,91.8,6
2.5,2000000000.0,110.368358333333,0.628949755527614,1.845,46.7666666666667,1
46.0,4000000000.0,50.61935,0.643753990450334,1.24510204081633,79.5333333333333,11
29.0,4500000000.0,38.9615193,0.647221464380363,1.44302729528536,48.05,1
16.0,40000000000.0,13.516925,0.888586961581519,1.0634000000000001,61.55,29
3.0,1000000000.0,85.856759,1.40444676656526,1.5272800000000002,43.986,16
27.0,1480000000.0,67.4025,0.678373316815239,1.295,106.85,40
20.0,40000000000.0,6.941,0.0,1.67,61.1,0
97.0,12000000000.0,76.5177175,0.978234388530003,1.04354285714286,79.6075,32
0.6,9400000000.0,92.099744,0.992692503122577,1.4580000000000002,59.0666666666667,0
0.2,4000000000.0,90.536925,0.827000011971518,1.29388059701493,110.475,2
0.1,2000000000.0,110.368358333333,0.628949755527614,1.845,46.7666666666667,1
0.64,10000000000.0,92.099744,0.992692503122577,1.4580000000000002,59.0666666666667,0
40.0,4000000000.0,52.485725,1.073031979555,1.517,37.6175,33
